SLC44A4,ESR1,PCAT29,NDC80,HJURP,KIF20A,C5AR2,CENPA,RGMA,TRIM29,SLC7A13,SPDEF,GATA3-AS1,GATA3,ROPN1,ASF1B,GTF2IP7,PTTG1,TFF3,ERBB4,MLPH,NUSAP1,CT62,NEIL3,KIRREL3-AS1,PRC1,SYNM,FOXC1,AFF3,LINC02613,SOX9-AS1,ANXA9,FABP7,KIF2C,SFRP1,AGR2,GTSE1,CCDC170,CCNB2,PRR15,RARA,KIF15,KLHL29,BIRC5,MYBL2,SPAG5,BLACAT1,CYP2B7P,GFRA1,KCNMB1,SLC7A8,ORC6,FAM171A1,KRT17,OCA2,DTL,OLAH,SRSF12,KLK6,ART3,CNTNAP3,CHST3,CDC6,SGO1,KIF14,NAT1,LINC00839,SCUBE2,DYNLRB2,SNHG26,IRX1,NCAPG,CDCA3,TPX2,FSIP1,TTYH1,ERCC6L,CDCA8,FGFBP1,TTC6,TICRR,ECRG4,MELK,KNL1,PDE1C,MFGE8,KIF18B,ROCR,ARHGEF4,CDK1,NOSTRIN,LINC01354,CA12,MCM10,CDC45,LINC02188,SHCBP1,RHCG,ZWINT,KRT5,VGLL1,AURKA,NUF2,PGAP3,AGR3,CDCA2,TMEM45B,FERMT1,PRR11,MRPS30-DT,ANKRD30A,GRB7,FOXA1,IGF1R,DNALI1,TRH,SILC1,POLQ,LMOD1,AK5,CLDN19,ADAMTS9-AS2,TTK,PGR,CDH3,MAMDC2,USP44,SAMD5,ERBB2,CCNB1,ACE2,SKA3,ZP2,PCLAF,KIF4A,ACTG2,RERG,KRT7,ZNF552,SOSTDC1,SPINK8,TCAP,RAMP2-AS1,ANXA8,LRFN2,KCNK15,CDCA5,PPP1R1B,TBC1D9,BUB1,KLK5,ANXA8L1,OVCH2,IYD,UBE2C,LINC02303,MINDY1,CKAP2L,CENPE,TNS2,CPLX1,CDC25C,EGR1,RNU6-813P,CHODL,RRM2,ABCA12,MAPT,TUBA3E,STAC2,NSG1,DLGAP5,C5orf63,NCAPH,CRYAB,RAD17P1,ASPM,LMNB1,ELOVL2-AS1,TSPAN1,ABCC11,CLCA4,MEF2C-AS1,CMTM7,MND1,ZFP36L2,SCN4B,FOXCUT,SCN2B,CDKN3,TROAP,AUNIP,TPSG1,SLC39A6,LAMB3,TTC36,GRAMD2A,CDC25A,GABRP,MIA,MIEN1
0.061037403,0.014329328,0.018485773,0.02988301,0.015440255,0.02404617,0.04505571,0.016337547,0.039144512,0.035557386,0.031187791,0.21000825,0.002889543,0.12025164,0.0030245748,0.02630786,0.19939426,0.019720227,0.02072613,0.078135744,0.03889278,0.055255022,0.117823176,0.029320987,0.0009920635,0.03833477,0.013236362,0.013885529,0.12030102,0.012058823,0.014486194,0.05553971,7.613889e-05,0.018329235,0.016432881,0.013605442,0.035534497,0.048626054,0.040278226,0.032168698,0.03922388,0.024671275,0.043928638,0.019267425,0.011728239,0.016469756,0.013593113,0.00057393033,0.002587399,0.041988,0.35280833,0.027706033,0.06738223,0.024040926,0.0029788502,0.023714218,0.00017047391,0.025299601,0.0027765804,1.957177e-05,0.031267144,0.09413929,0.0062835766,0.01733013,0.060411114,0.003833437,0.014091859,0.038082756,0.070953436,0.08947369,0.028330041,0.045696203,0.021645023,0.021964341,0.006058263,0.0053806915,0.02445194,0.038381547,0.0006113489,0.023698688,0.012935932,0.01005821,0.025706287,0.041522887,0.019819502,0.020367222,0.029565614,0.004937717,0.028136084,0.01792242,0.054134965,0.02053232,0.11566367,0.010888933,0.022698876,0.0041076317,0.087518744,3.4103505e-05,0.04182628,0.011512568,0.0032857219,0.022073805,0.011323166,0.03209293,0.024912864,0.022838932,0.040430456,0.044823904,0.00206404,0.0029372245,0.015315098,0.0149354385,0.18106367,0.0054422216,0.057476114,2.5564914e-05,0.004509192,0.0418357,0.12105371,0.077482104,0.05073996,0.045009784,0.016714768,0.038322993,0.051816486,0.07033483,0.037892792,0.045024674,0.050809752,0.043992203,0.00011043622,0.0343976,0.00029545007,0.069051996,0.03960087,0.0053757327,0.014164856,0.21922503,0.025533011,0.015771633,0.010086245,0.00021532628,0.039900247,0.033280864,0.041932542,0.0083162915,0.015628196,0.0006405736,0.036072623,0.02368585,0.0077417884,0.0036466473,0.019859813,7.9491256e-05,0.017711887,0.0058317133,0.07479031,0.04037971,0.039658893,0.1897019,0.030167598,0.025559105,0.02938299,0.001598721,0.0007842112,0.013012028,0.015270864,0.027007714,0.0017373532,0.008415804,0.019315852,0.024901243,0.049731836,0.04654504,0.0078046867,0.014897579,0.0344594,0.070447996,0.0,0.071940295,0.29728538,0.0072544646,0.044973545,0.037799403,0.033632286,0.43972838,0.15480143,0.0005963029,0.62580645,0.018819122,0.018125553,0.0057239057,0.002085989,0.02651801,0.0619505,0.010894684,0.040705882,0.009085637,0.008731941,0.0077338796,0.010385212
0.002326331,0.055273414,0.039382733,0.22100712,0.17554598,0.20038475,0.026740948,0.2108254,0.048219368,0.0005064484,0.14532183,0.39493692,0.10173373,0.44961113,0.00012602395,0.16261671,0.0050479556,0.6188071,0.015493631,0.0072739776,0.04570027,0.2795871,0.005459669,0.34156376,0.0,0.19387119,0.0039942544,0.0057090325,0.012120154,0.005,0.0042251395,0.03095578,2.4299643e-06,0.32896554,0.00023466145,0.003046284,0.11297009,0.04696625,0.46991265,0.0076535186,0.028679676,0.23993494,0.01438711,0.2392286,0.3090672,0.11612302,0.0013593113,0.0046907766,0.052246317,0.014674379,0.2098017,0.30570558,0.012641622,0.0005885293,0.0,0.1093545,0.00017047391,0.0031069685,2.5356898e-05,0.00013700238,0.0021941855,0.0071135336,0.050124712,0.16403568,0.03624667,0.00064350263,0.026878916,0.0114353765,0.02993348,0.019736843,0.0010087849,0.31848103,0.28872576,0.18453735,0.00019334881,0.002239363,0.14270657,0.3290792,0.0,0.063584425,0.18687177,0.00091078284,0.18757954,0.113986656,0.0011502389,0.002398683,0.15578803,0.0002244417,0.0043534343,0.12350223,0.041162528,0.02661597,0.10576453,0.14168811,0.2919617,0.00011906179,0.24475263,2.5577629e-05,0.28285512,0.0003215402,0.0009775702,0.24349105,0.17012143,0.03096296,0.004370361,0.062408715,0.0033013206,0.0020010672,0.010036257,0.0007186826,0.0,0.019619623,0.13871911,0.00062630925,0.073074766,1.988382e-05,0.0013874436,0.20791075,0.020093936,0.014160522,0.0,0.0009784736,0.08537759,0.0083064465,0.08575047,0.0008166599,0.0036968577,0.007195724,0.020116204,0.39621416,2.2087244e-05,0.47080612,0.0,0.9304464,0.25592452,0.0007425255,0.009192087,0.22109681,0.01135005,2.801356e-05,0.055035815,0.0003643983,0.38265446,0.0002248707,0.102096625,0.0010224949,0.27461806,0.00013213627,0.038953584,0.1343237,6.64124e-05,0.00022326413,0.0,0.0062798094,0.2846147,0.0023604555,0.07255359,0.14338338,0.30360627,0.034869015,0.06927374,0.20944266,0.004823017,0.01598721,0.028493008,0.07258048,0.006196568,0.13543232,0.0,0.00015979375,0.001510737,0.14432845,0.16674793,0.2535555,0.0025463405,0.0,0.11674646,0.25859618,0.125,0.0056257173,0.00044068397,0.0,0.013227513,0.061002992,0.586483,0.076997355,0.022992745,0.0,0.006451613,0.18961826,0.4021515,0.42962962,0.0316375,0.005277953,0.017143536,0.045064375,0.003882353,0.39764163,0.0002004861,0.0003727171,0.016372893
0.06961719,0.19512838,0.013502652,0.036749743,0.04061761,0.044244952,0.10376044,0.016053416,0.06646718,0.01625346,0.013271401,0.10320641,0.049176753,0.21266629,0.0011342156,0.026157243,0.076728925,0.037400424,0.028201127,0.25707558,0.10081089,0.06899978,0.10320535,0.018004114,0.0,0.04581762,0.012190851,0.008563549,0.09561965,0.0066176467,0.015693376,0.10128388,1.5389774e-05,0.023324622,0.01437137,0.031630907,0.048119634,0.23409356,0.040035587,0.018834831,0.028837537,0.020469025,0.03663917,0.010131711,0.015190517,0.025908563,0.005890349,0.011489644,0.0390255,0.023457585,0.10891155,0.030758394,0.056231365,0.005895156,0.000297885,0.043459248,0.00017047391,0.011096316,0.00091284834,5.8715308e-05,0.038946792,0.056837484,0.007114991,0.0094372,0.06998274,0.10504414,0.017745303,0.040115245,0.085365854,0.022368422,0.012105418,0.05481013,0.02324487,0.022256378,0.080562,0.0012129883,0.03920742,0.042068444,0.00022230868,0.11986881,0.012935932,0.007919851,0.029439213,0.06188176,0.015218546,0.010388127,0.022515351,0.0032544045,0.015075782,0.033077784,0.12797804,0.0121673,0.18178235,0.014584571,0.038733862,0.0036313846,0.08002249,0.00019609515,0.04495348,0.0057934397,0.00059740397,0.02507358,0.027760021,0.026143456,0.032750618,0.027619174,0.003344195,0.010672359,0.0018947668,0.2902853,0.057306547,0.016357861,0.3540036,0.008967703,0.0070264195,0.026246645,0.0006937218,0.087474644,0.07102308,0.38367,0.01744186,0.045988258,0.0242304,0.053455133,0.02678098,0.039199673,0.03512015,0.02785773,0.022787126,0.042895444,0.00030922142,0.03774916,0.0001969667,0.0473165,0.044745866,0.0014282251,0.08114654,0.06993077,0.07886168,0.0020449897,0.0016810409,2.484534e-05,0.3302854,0.0056217676,0.01823154,0.03387866,0.011158824,0.0039281812,0.25945762,0.030282568,0.0015369727,0.0032001191,0.026869157,0.025198728,0.017843086,0.0,0.2441752,0.049447436,0.060618512,0.16482988,0.055227455,0.04969826,0.034898624,0.07673861,0.0031368448,0.020634823,0.011258849,0.27860817,0.014205417,0.009262711,0.0055033993,0.03251975,0.269137,0.056457408,0.032985844,0.036623217,0.04593081,0.059043765,0.13715278,0.05986223,0.0022327986,0.0047433036,0.058201056,0.11321108,0.009929533,0.113270454,0.08373293,0.0,0.07177419,0.016143417,0.03256705,0.018855218,0.06269556,0.022510167,0.08346462,0.039286893,0.023647059,0.014111734,0.00463894,0.003354454,0.008499817
0.04949788,0.00079627766,0.12682848,0.017039675,0.037000973,0.03903495,0.009958218,0.01718994,0.03266948,0.037665624,0.01791639,0.1996493,0.0008177952,0.013933516,0.00037807185,0.034642033,0.07521454,0.033417523,0.0018675778,0.0051314603,0.09410977,0.05012144,0.0031701303,0.02057613,0.0,0.02179529,0.0041059116,0.0065073296,0.025315408,0.003235294,0.0024143655,0.016737994,0.052326854,0.016138949,0.024696475,0.012720661,0.03953213,0.00577857,0.034940146,0.019632073,0.014797172,0.022502372,0.046614233,0.014029845,0.028060764,0.010401951,0.0022655188,0.0006475111,0.0012936995,0.05141388,0.10020926,0.048368163,0.049850922,0.022729065,0.019660411,0.012008476,0.00017047391,0.008877053,0.001863732,5.8715308e-05,0.018650576,0.04880379,0.0039332313,0.015614275,0.010356191,0.0006864028,0.008611691,0.007067991,0.048780486,0.043421056,0.009625489,0.0478481,0.021927347,0.01723025,0.033062644,0.010232644,0.023608768,0.038003404,0.00094481185,0.013542107,0.012411502,0.004712311,0.017816238,0.027260179,0.011590869,0.013210227,0.013873096,0.0024688586,0.022734601,0.014876117,0.06623425,0.025095057,0.005174872,0.010690953,0.05393586,0.0023812358,0.043103453,0.00034956093,0.036705494,0.010167816,0.0008146418,0.017036451,0.009131586,0.022000223,0.0001264154,0.026556898,0.23182131,0.006403415,0.0011193866,0.00037496485,0.014072461,0.020747751,0.10572949,0.0016211165,0.0057616644,1.1362184e-05,0.13111342,0.027890466,0.068654284,0.0069466713,0.014270613,0.01663405,0.0061327564,0.0004271399,0.053117033,0.035933036,0.009242144,0.0074013155,0.03462808,0.03481193,0.6332634,0.037396364,0.044120543,0.048821267,0.03211724,0.007008531,0.0028092912,0.52078205,0.03519067,0.002801356,0.3465137,0.00074536016,0.012468828,0.019563751,0.15587968,0.0083162915,0.011918325,0.017739292,0.008814029,0.019114897,0.0028557333,0.0074421377,0.019859813,0.07344992,0.020948133,0.0073590665,0.046225533,0.0151601015,0.021678826,0.097079195,0.046288908,0.033368833,0.013253185,0.0,0.0016991242,0.0482777,0.14300418,0.031776354,0.016249362,0.10212951,0.006474587,0.020527653,0.05607021,0.035914384,0.013161206,0.0,0.011200434,0.05650471,0.0017361111,0.004121699,0.5235228,0.019810269,0.023809522,0.022080839,0.028507367,0.2459902,0.07684741,0.0005963029,0.024193548,0.015697466,0.04568229,0.025252525,0.0015065477,0.0036964873,0.029086413,0.044404093,0.7301177,0.032476317,0.0023225544,0.004006709,0.011327909
0.03269532,0.09413323,0.019289503,0.17344862,0.16886911,0.10884899,0.038927577,0.13652506,0.010693613,0.0022613509,0.10285335,0.32646173,0.03222113,0.08481227,0.00012602395,0.08605281,0.031297326,0.23401982,0.016510606,0.0037295667,0.07446316,0.11608523,0.036632616,0.068415634,0.0,0.068355255,0.0008120467,0.0024190815,0.056870077,0.0011764705,0.011619134,0.060485024,4.8599286e-06,0.066669226,0.0008004807,0.023840567,0.13236602,0.11753857,0.09309285,0.023120005,0.028563602,0.08106276,0.012660656,0.22549069,0.1278505,0.16803646,0.0040779337,0.0056657223,0.03922682,0.014245929,0.0424486,0.1587227,0.025700657,0.0013513158,0.000297885,0.040869184,8.5236956e-05,0.0071016424,5.0713796e-05,0.000117430616,0.004936917,0.011148074,0.044112947,0.12405628,0.121292956,0.0017006855,0.018528184,0.010800078,0.023281597,0.017105265,0.0028582236,0.16670887,0.16553737,0.09090071,0.014050013,0.0017417268,0.14354976,0.13074304,5.557717e-05,0.079771474,0.03522419,0.00091078284,0.16365488,0.091212325,0.0015041586,0.0046514305,0.25596997,0.00033666255,0.008061916,0.10601137,0.031745043,0.003041825,0.019749003,0.056160495,0.17034568,0.00053577806,0.26574212,0.000102310514,0.2911422,0.00068881054,0.0013305816,0.114840396,0.0996256,0.011042913,0.0074314196,0.075421594,0.011447436,0.0020010672,0.012455224,0.00543699,8.069072e-05,0.012004757,0.17495163,0.001143994,0.053588163,0.00016475166,0.0017343045,0.27155173,0.018051868,0.0018168216,0.0021141649,0.007827789,0.109848484,0.010174472,0.021014085,0.006533279,0.0036968577,0.0076069077,0.0094976695,0.11775937,4.417449e-05,0.24060681,0.0,0.20632002,0.25257248,0.00019320817,0.4233311,0.13144644,0.026820699,0.0002801356,0.03881012,4.5549787e-05,0.03241895,0.0015740949,0.1230629,0.086503066,0.106826745,0.0015770175,0.006521383,0.1605028,4.743743e-05,0.00022326413,0.0023364485,0.098330684,0.12909997,0.007497917,0.047297295,0.16406913,0.16192335,0.077807896,0.039425377,0.08945686,0.004375599,0.22222222,0.0016991242,0.11952624,0.012834247,0.014612165,0.0016351559,0.0004101373,0.002050286,0.060665913,0.073135056,0.40741274,0.00080992025,0.006207325,0.07158342,0.09334252,0.0069444445,0.0037083812,0.018273694,0.0013950893,0.015873015,0.023016468,0.07174888,0.04594492,0.0055330135,0.0,0.0048387097,0.11282554,0.35632184,0.096969694,0.03986557,0.01634067,0.0077755754,0.014196103,0.0031764705,0.06997874,0.0015730448,0.0004658964,0.009266405
0.07398193,0.14011918,0.028773507,0.035223804,0.04632077,0.052100036,0.10675488,0.022020172,0.028254686,0.018620811,0.07697412,0.20567606,0.011503653,0.38003364,0.0021424072,0.030023094,0.23775871,0.048377693,0.0038499753,0.10786647,0.20375538,0.056911018,0.06798168,0.024176953,0.0,0.039433442,0.0071561616,0.008563549,0.12158747,0.011029411,0.01614607,0.11664289,8.909869e-06,0.01963572,0.008772392,0.03203643,0.03686704,0.073707506,0.03267551,0.05415263,0.026650693,0.027111292,0.04066756,0.013463156,0.009661749,0.020932322,0.013593113,0.0018248041,0.056718163,0.019065982,0.34834093,0.017609766,0.05736434,0.010090482,0.0074471254,0.023108749,0.00025571085,0.020861074,0.0013312371,0.000117430616,0.034009874,0.02579983,0.004812612,0.019903911,0.038600348,0.014681053,0.025052194,0.06548265,0.17738359,0.06710526,0.013618595,0.04291139,0.028138528,0.023240086,0.035125032,0.002363772,0.027403036,0.051805634,0.00011115434,0.1807025,0.015470674,0.006692274,0.018579792,0.032551184,0.014333746,0.010285355,0.02717762,0.0029177421,0.02281522,0.02363424,0.21753773,0.016730038,0.1260275,0.0070613082,0.027696792,0.00089296344,0.02173913,3.4103505e-05,0.03221015,0.005696263,0.002090914,0.02150781,0.027942652,0.04567828,0.040290397,0.012216174,0.033013206,0.017475987,0.0012176743,0.00928038,0.21596064,0.022967221,0.40752792,0.011263254,0.23880458,6.5332555e-05,0.010058966,0.03321501,0.061670415,0.02377899,0.011627907,0.0704501,0.0232684,0.007879307,0.018857917,0.036749694,0.024029575,0.030838815,0.029288152,0.050613374,0.00022087245,0.048333038,0.0,0.07440227,0.033910193,0.0017767575,0.079112224,0.15556867,0.04843546,0.0037818304,0.01790674,0.00019048093,0.19783872,0.008095345,0.06836828,0.05916837,0.0120351715,0.0053299745,0.2006796,0.022231456,0.0025900837,0.00647466,0.025700934,0.0023052464,0.024534242,0.0016662038,0.18769804,0.033437233,0.040480837,0.22095755,0.08555467,0.057507988,0.01758581,0.0,0.0032675467,0.010778468,0.021467432,0.26358768,0.0015329586,0.0028390023,0.012085896,0.017000565,0.17357387,0.041947998,0.007835366,0.018001242,0.03473038,0.06252959,0.2482639,0.004293915,0.0018606656,0.006417411,0.08201058,0.03667665,0.021140294,0.36810258,0.1102914,0.00089445437,0.075806454,0.018997502,0.032272328,0.038383838,0.013558929,0.019384956,0.048262775,0.046715084,0.03635294,0.017977964,0.0038123205,0.0025158403,0.0145030385
0.15247835,0.05771362,0.03632856,0.112283826,0.12046182,0.09289837,0.14519499,0.049012646,0.017708233,0.013697661,0.00199071,0.1775168,0.0009813543,0.16196711,0.0046628863,0.09072196,0.05855629,0.15747038,0.027066989,0.061868485,0.12078912,0.16742106,0.013032758,0.08127572,0.003968254,0.079876475,0.003770942,0.011103585,0.11194832,0.0070588235,0.012071827,0.17693771,0.00015470774,0.04653397,0.0061275153,0.01937786,0.11119337,0.055142313,0.08168878,0.028302075,0.020712325,0.04242917,0.039324764,0.03566706,0.027861366,0.04912033,0.005437245,0.0016702843,0.00038282946,0.032562125,0.0909257,0.17046255,0.041920096,0.017340243,0.00119154,0.039086413,0.0,0.014203285,0.0005705302,0.0001957177,0.010970928,0.015784258,0.011655794,0.03671929,0.049113452,0.021612495,0.006784969,0.03436239,0.076496676,0.044736844,0.009919718,0.10531645,0.08046302,0.0416846,0.013792215,0.0062204525,0.10328837,0.10947248,0.0011671205,0.024227677,0.018529847,0.0057814913,0.07873081,0.065447435,0.008671031,0.008776672,0.07573345,0.0031421836,0.0061270553,0.055518888,0.08238743,0.0022813687,0.028363228,0.030159045,0.11870055,0.0026193594,0.15798351,8.525876e-05,0.12000625,0.00599208,0.00054309453,0.047373783,0.05113688,0.017009512,0.0056254854,0.058292393,0.038801234,0.008537887,0.0019548314,0.004937037,0.02754781,0.013954458,0.13250813,0.0023354255,0.18821436,9.941911e-05,0.0,0.07885395,0.02148254,0.004488618,0.002642706,0.018590998,0.03715729,0.00033032152,0.026353167,0.010718661,0.027726432,0.0121299345,0.017089864,0.09541799,6.626173e-05,0.065972835,0.0001969667,0.18408294,0.09642968,0.001360034,0.045465313,0.045829624,0.06460514,0.0010925288,0.0034351705,0.00034369386,0.02466057,0.011693276,0.22151321,0.0036809815,0.039143514,0.00032603185,0.13636786,0.05324122,0.0006261741,0.009674779,0.017523363,0.018203497,0.08029389,0.00055540126,0.07278658,0.09365259,0.08517415,0.12128878,0.07198723,0.13241036,0.03228995,0.010391687,0.00418246,0.043318786,0.0018484677,0.0024936928,0.0052120592,0.0035847065,0.009496061,0.035482503,0.16821063,0.11578797,0.0048472504,0.001241465,0.044169452,0.19985369,0.045138888,0.1747302,0.031523593,0.00027901787,0.08465608,0.06667914,0.062139653,0.12445114,0.037255622,0.0005963029,0.014516129,0.03130574,0.12820512,0.1094276,0.088075094,0.018981017,0.024427844,0.03218884,0.00917647,0.042721823,0.0045957584,0.0053112186,0.022619558
0.0002763958,0.00031557548,0.0014467126,0.1216938,0.12227014,0.107486375,0.012116992,0.07202728,0.24330424,0.06715741,0.0,0.0009430626,0.0005451968,0.0056054373,0.27246377,0.049452756,0.0015143867,0.14173305,4.2178668e-05,0.00023805744,0.001282661,0.10250607,0.0,0.100823045,0.05257937,0.122160524,0.074190624,0.074531905,0.0063954717,0.0052941176,0.2882149,0.010699002,0.0018775525,0.08718875,0.051660612,4.0746472e-05,0.16804858,0.007622795,0.117195085,0.0024913799,0.015957916,0.13392977,0.026280453,0.09829478,0.10785629,0.04417619,0.026733123,6.990177e-05,0.0035444726,0.16645244,0.012970405,0.2650857,0.15307096,0.11650578,0.009234435,0.030273471,0.029918171,0.13848203,0.02207318,0.01272165,0.1053209,0.09272367,0.022831926,0.18651338,0.093990274,0.00043206607,0.029227559,0.0017394525,0.0044345898,0.07105263,0.30141652,0.0813924,0.116694905,0.08504458,0.00077339524,0.18387659,0.049536258,0.17886178,0.004557328,0.000740584,0.07560527,0.0033659367,0.14465089,0.061766732,0.04291276,0.057841763,0.14453036,0.13084951,0.021605933,0.044019092,0.011163777,0.015209125,0.0017284777,0.05972415,0.41920036,0.11864507,0.1634183,0.0005712337,0.16488154,0.0012404306,0.12037691,0.07154178,0.13679115,0.018002518,3.6118687e-05,0.11034392,0.0020150917,0.035085376,0.006536126,0.00043745898,0.0,0.016333336,0.0023854543,0.0017118661,0.0057616644,2.840546e-06,0.00381547,0.14249493,0.04222994,0.008710057,0.0,0.006849315,0.057058685,0.00010251357,0.20254293,0.017966518,0.004621072,0.0060649673,0.006809505,0.09513365,0.00053009385,0.14164756,0.0,0.2981107,0.107577175,0.11683033,0.0022603492,0.16539684,0.0047460496,0.06328263,0.00021926619,0.00017391737,0.017456358,0.0049471552,0.0,0.004021813,0.049747318,0.00048545713,0.0051664757,0.11255973,0.00981006,0.0014884275,0.0,0.0011128776,0.08908423,0.0,0.0804753,0.111646354,0.097606085,0.057723578,0.021707902,0.097621575,0.051994044,0.0,0.04404653,0.07866642,0.0008612179,0.0013708019,0.00030659174,0.01958006,0.002050286,0.05488149,0.046318866,0.16578078,0.06041883,0.0,0.058802277,0.15311788,0.0,3.4443176e-05,3.9171908e-05,0.0013950893,0.06349206,0.6176397,0.12171685,0.24079971,0.04414115,0.020274298,0.01532258,0.037727434,0.14220452,0.1114478,0.00011588828,0.0028207148,0.1492775,0.0018157808,0.09294118,0.09298279,0.122793116,0.12672381,0.00935964
0.16583748,0.21582794,0.12313133,0.046159714,0.21852832,0.122395,0.14818941,0.055831794,0.011772786,0.0006948943,0.031187791,0.37348226,0.0002725984,0.099336356,0.00037807185,0.09408575,0.15244827,0.08859529,0.19965743,0.12315505,0.45096478,0.1561051,0.08946812,0.09104938,0.0,0.09234789,0.0044967085,0.002902898,0.0040523033,0.0014705881,0.03772446,0.029006183,4.049941e-06,0.046956655,0.001815885,0.33821124,0.10675155,0.086002335,0.11234228,0.03605525,0.014188942,0.08648502,0.028774219,0.034619547,0.055052023,0.031462695,0.0,0.0076855156,0.10376658,0.0115681235,0.25077224,0.081944115,0.013059034,0.0003781054,0.00059577,0.062396985,0.00017047391,0.0017754106,0.00011410604,0.0016636004,0.012616566,0.011077292,0.006859171,0.06348661,0.12082222,0.04852929,0.0013048017,0.00039852684,0.06984479,0.014473685,0.0012609811,0.078354426,0.09392057,0.05759299,0.030484663,0.0034834535,0.12015177,0.11656268,0.0,0.10801946,0.056988023,0.0013067754,0.0834818,0.14826317,0.0026543974,0.0037943176,0.1759154,0.00011222085,0.024669461,0.04924858,0.1504927,0.010646388,0.034949746,0.035174552,0.07309455,0.00035718537,0.0922039,0.00013641402,0.10237667,0.00022865081,0.00010861891,0.043808017,0.045383982,0.012309853,0.042836763,0.08139689,0.026281942,0.0005336179,0.0053457543,0.010311533,0.05885581,0.008044045,0.2802964,0.011835938,0.002482668,2.840546e-06,0.004162331,0.12018255,0.04014703,0.012878059,0.0,0.020547945,0.053511307,0.00063216704,0.0054759826,0.009391589,0.006469501,0.0015419408,0.014151662,0.0938744,0.00026504693,0.061739285,0.0,0.24694867,0.115450576,0.0013486688,0.024810024,0.03162518,0.07709571,0.00025212203,0.0024850168,9.5240466e-05,0.060127456,0.0011243535,0.09662716,0.03387866,0.02532644,0.008104836,0.06220451,0.09199044,5.6924917e-05,0.0010418992,0.0,0.0038155802,0.0776699,0.00055540126,0.1278192,0.08642674,0.10603103,0.16218007,0.0745411,0.124955624,0.005806326,0.05035971,0.0005228075,0.07706809,4.201063e-05,0.18602073,0.00010219724,0.0002823023,0.0026977446,0.07047122,0.23647001,0.10443902,0.011872696,0.024208568,0.07447385,0.1374532,0.10069445,0.10415614,0.03921108,0.0,0.007936507,0.009356288,0.052210122,0.09533006,0.021886142,0.0,0.016935484,0.044059932,0.17035072,0.049831647,0.016108472,0.028028838,0.029272756,0.010894684,0.0050588236,0.05818674,0.00046574464,0.0003727171,0.004117827
0.0013013635,0.0016659449,0.0006429834,0.18514751,0.21435526,0.13169286,0.028412256,0.15300468,0.11645246,0.05036217,0.0,0.0026523636,0.00038163777,0.016320832,0.060995594,0.09232855,0.0030287735,0.14610453,5.155171e-05,0.0015076972,0.0015141657,0.16703466,0.0003522367,0.09156378,0.16468255,0.05573537,0.04544924,0.040979244,0.011072619,0.1307353,0.15542477,0.006229197,0.004441975,0.09606517,0.10053818,0.0017986657,0.17811668,0.0145079,0.11112909,0.0052020005,0.006059087,0.14274095,0.22021869,0.06953102,0.04504586,0.05952228,0.017217943,4.0469444e-05,0.0008019617,0.06276778,0.03416149,0.11739845,0.1602266,0.008377501,0.0089365505,0.072992705,0.017899761,0.06435864,0.0011537388,0.0015070263,0.024684587,0.06600368,0.017219877,0.050274536,0.14341755,0.0015076348,0.20641963,0.0010947767,0.019955654,0.20789474,0.050775502,0.13443038,0.06775833,0.17794344,0.0019979377,0.037478227,0.1363828,0.35271317,0.018118158,0.00042319085,0.052442968,0.005504296,0.09086281,0.10121923,0.07202265,0.020613873,0.08653627,0.038716193,0.0036278618,0.033255484,0.02613197,0.122433454,0.00208051,0.040849995,0.15285297,0.07084177,0.1787856,0.0014238213,0.058556795,0.009084582,0.0051865526,0.058693685,0.06246005,0.009878699,0.0014447474,0.18603107,0.0015434746,0.041889008,0.005640617,0.00012498828,0.00035503914,0.007357359,0.0014620527,0.0009391201,0.0056679784,0.0,0.003121748,0.19574036,0.03643047,0.011649033,0.03964059,0.03033268,0.09060847,0.00024489354,0.16794156,0.01439363,0.1534196,0.026726972,0.0039096214,0.111097574,0.0020982882,0.13953078,0.0,0.090285905,0.15006237,0.0026897609,0.005327966,0.041173898,0.016905501,0.021290304,0.00036544367,0.00011594492,0.015793849,0.0062963795,0.005469462,0.0014314929,0.07010779,0.0011806088,0.008443212,0.13411593,0.0016128726,0.009302672,0.021028036,0.0,0.060089216,0.0,0.0527027,0.1618022,0.12596321,0.058265585,0.015163608,0.1025914,0.020290542,0.0,0.059730753,0.114936166,0.0006091541,0.0059352806,0.00020439448,0.0082506845,0.008956512,0.10390802,0.07459776,0.17123978,0.010209905,0.0,0.11006233,0.18789001,0.0,0.0007921929,0.00020565253,0.006417411,0.044973545,0.14595808,0.058295965,0.26995096,0.031599652,0.012820513,0.044354837,0.050660007,0.094753906,0.14410773,0.00011588828,0.004305482,0.2728905,0.0014856388,0.041647058,0.11927315,0.13661124,0.08376817,0.006391696
