,SLC44A4,PCAT29,SPDEF,BIRC5,SLC7A13,C5AR2,SPAG5,PTTG1,MLPH,ROPN1,KLK7,AURKA,MELK,FOXC1,ESR1,TPX2,GATA3,FABP7,GATA3-AS1,UBE2C,CCDC170,CT62,GTF2IP7,CNN1,ASF1B,KIFC1,LINC02188,BLACAT1,HJURP,AGR2,EGFR,CDCA8,POLR2F,MIA,TFF3,PRR15,RGMA,RRM2,FAT2,KIRREL3-AS1,SFRP1,KLHL29,CA12,IRX1,PADI2,CYP2B7P,KLK6,FGFBP1,STAC,BUB1,CKAP2L,PIK3C2G,ANXA9,NDC80,FAM171A1,CCNE1,SYNM,ERBB4,LINC01354,PIMREG,ART3,LINC00092,GTSE1,OCA2,CDCA2,CFAP61,PRR11,TTC6,CYP2T1P,SNHG26,OIP5,RERG,GREB1,ABCC8,RARA,E2F8,POTEKP,CNTNAP3,PSAT1,ASPM,SKA1,SGO1,OLAH,GRIA4,TBX19,KCNK5,STX19,NSG1,THSD4,KIF20A,TUBA3E,NEK5,MYBL2,SOX9-AS1,COL17A1,FSIP1,ARHGEF4,AURKB,VGLL1,FERMT1,HMMR,KIF15,ANKRD30A,FAM47E,TOP2A,KIF2C,RAD51,ZP2,MTFR2,CDKN3,NCAPH,E2F2,KCNMB1,NCAPG,KRT17,NEIL3,CLDN19,RNASE7,KIF14,ERBB2,LINC02303,STAC2,SPNS2,GFRA1,TPO,ARMT1,CCNB1,TSLP,CDC25C,GRB7,ACE2,BBOX1,TMEM86A,MAG,RGS22,CDC6,PGAP3,TRPV6,MRPS30-DT,TCAP,ADAMTS9-AS2,ORC6,NUSAP1,ACADSB,FZD9,ORMDL3,PNMT,CFAP99,CCNB2,MAD2L1,MAPT,TRIM29,GSDMB,SLC39A6,PCLAF,TFF1,FOXA1,TTK,CHST3,PDE1C,KIF4A,KIF18A,ATP13A5,LINC01843,NUF2,PGR,PARD6B,KNL1,KRT7,CEP55,ANXA8,LINC02130,SILC1,ABCC11,RAD54L,SRARP,PAK5,PLEKHD1,BCL11A,AR,SPINK8,EXO1,HID1,ECRG4,CDC45,CDH22,STARD3,KIF18B,S100B,MEMO1P1,MIEN1,UBE2T,CDK1,TMEM45B,DSC3,LINC01087,SIDT1,ULBP3,CCNA2,UGT2B28,C11orf91
282,0.07582457,0.0659058,0.23922846,0.015987497,0.01526211,0.101462394,0.03403108,0.043326207,0.24193488,0.00088216766,0.00080323167,0.027790356,0.022821752,0.006023513,0.16164069,0.023854904,0.18870305,4.8599286e-06,0.036691748,0.026677161,0.1517182,0.053716097,0.23775871,0.0129359355,0.037051912,0.05592473,0.0017263959,0.123244226,0.057866186,0.10676352,0.0017278462,0.057477783,0.008553655,0.0026090196,0.021311944,0.04819325,0.021926813,0.037109897,0.013886141,0.0,0.00695212,0.036255512,0.01873867,0.015636165,0.011839856,0.027349986,0.00076070696,0.00022230868,0.0069681015,0.035165176,0.047322188,0.03526198,0.113314316,0.047685657,0.039773405,0.0063452567,0.004100836,0.027032746,0.016730038,0.03992556,0.0009785885,0.004557885,0.06825585,0.000893655,0.021643871,0.021932831,0.0018401626,0.18303004,0.017373025,0.05394737,0.05111524,0.056627132,0.033111177,0.0985447,0.023177747,0.01737242,0.017045453,0.027975865,0.0012356264,0.050040647,0.019405618,0.020075496,0.00025571085,0.0184265,0.063656546,0.007340012,0.019556025,0.013380813,0.16807564,0.04216095,0.00020439448,0.19737493,0.016876338,0.02037121,0.020279026,0.00077339524,0.033860043,0.046897266,0.00032585673,0.009738527,0.05312545,0.053409245,0.07178246,0.26863906,0.017499546,0.028742699,0.082989454,9.848335e-05,0.039027985,0.04727078,0.07901164,0.012799892,0.024314482,0.06683544,0.0033207517,0.050925925,0.028541226,0.007936507,0.06402008,0.045122072,0.00027770063,0.0011292092,0.067709774,0.003353058,0.1694704,0.03733054,0.05516289,0.015151516,0.06815761,0.043518778,0.00015461071,0.0066630156,0.018290985,0.0022202488,0.01276319,0.013238681,0.024833715,0.07574704,0.025966315,0.00012422669,0.04892368,0.034515146,0.072587766,0.052390188,0.005508799,0.020211179,0.00049177004,0.31976745,0.05637334,0.06662028,0.044040658,0.026040869,0.002817857,0.09403206,0.14027755,0.00963035,0.19615689,0.021705149,0.03379813,0.011059989,0.06212971,0.051916447,0.008997429,0.115384616,0.04328372,0.026784519,0.012409404,0.053370137,0.14262967,0.043799944,0.005846638,0.006968641,0.003121748,0.054987565,0.081014365,0.07334335,0.031185031,0.023538344,0.007587837,0.13439107,0.0013886859,0.110065706,0.121835984,0.0074050603,0.11432737,0.009466437,0.018899528,0.04002729,0.0055267126,0.048314605,0.008810596,0.06553672,0.025487408,0.027525296,0.0039567314,0.019078821,0.030522902,0.03938356,0.030852247,0.0,0.06944445
1071,0.13720748,0.09564378,0.16480018,0.010526677,0.03450564,0.07513928,0.018492358,0.03312609,0.13535514,0.0034026466,0.0025656624,0.017432647,0.022736914,0.0078378245,0.030665863,0.016723026,0.29492608,5.993912e-05,0.054138046,0.01718709,0.014446425,0.18492427,0.22816761,0.04883595,0.0309268,0.032696266,0.0023812358,0.0113275945,0.0395048,0.045923214,0.003436194,0.03942144,0.003888025,0.016026836,0.008288109,0.036952145,0.021191014,0.02458966,0.0909918,0.0009920635,0.014972279,0.05505467,0.107816875,0.03627422,0.010464905,0.011051837,0.003017471,0.00011115434,0.018426757,0.024828587,0.03641258,0.026322324,0.10955778,0.030900305,0.03488372,0.0012752722,0.015027939,0.15042585,0.010646388,0.027575707,1.957177e-05,0.004557885,0.049156055,0.000893655,0.024963485,0.037011653,0.0015835227,0.13711384,0.008423784,0.05,0.063197024,0.06640045,0.0185649,0.014636175,0.025016366,0.012719094,0.029474432,0.041689526,0.0018156143,0.035859454,0.016691545,0.013726835,8.5236956e-05,0.015527951,0.046262026,0.0028553454,0.019027485,0.037228875,0.22815627,0.041359413,0.004905468,0.06389302,0.008120945,0.022031086,0.12620395,0.039249808,0.017978072,0.022153128,0.0018193667,0.06696905,0.038977914,0.027789075,0.16982168,0.2751479,0.016462699,0.017868122,0.051811095,0.0,0.016936671,0.017570458,0.04137337,0.0097842105,0.1347472,0.037215192,0.049219456,0.027263373,0.18974629,0.04828042,0.041267853,0.031131357,0.0,0.004101373,0.023816116,0.047998894,0.070404984,0.01492166,0.047688685,0.049586777,0.036208734,0.021373127,6.626173e-05,0.02309237,0.07244821,0.0013321493,0.0336558,0.0075466875,0.02902831,0.10194579,0.10948973,6.2113344e-05,0.026418786,0.016435781,0.06452859,0.26002026,0.0012241775,0.021497548,0.00019422852,0.13081396,0.032918148,0.04392068,0.1984017,0.06696896,0.0026482637,0.057212573,0.0815917,0.020681277,0.35282737,0.019059645,0.088512175,0.029109892,0.041627686,0.025147028,0.023350472,0.07320099,0.022007123,0.01823033,0.019515643,0.060041405,0.12042139,0.03543948,0.10703845,0.010452962,0.0006937218,0.032747716,0.035906643,0.103669144,0.10602911,0.042615794,0.012206521,0.33133104,0.04780003,0.03166069,0.09945139,0.015126915,0.033527695,0.1979346,0.015921514,0.021378214,0.0027354434,0.04269663,0.009763652,0.033898305,0.021095652,0.015048876,0.021990445,0.037579495,0.1322659,0.020547945,0.025162766,0.0014559028,0.013888889
752,0.0008176709,0.0049831215,0.42732525,0.2188965,0.0,0.0007660168,0.25452676,0.30571204,0.007301782,0.071833655,7.798366e-06,0.25588635,0.3574277,0.06333156,0.00017613515,0.6967107,0.00062560686,0.00016685756,0.00021807873,0.1755882,0.0011680089,0.0007044734,0.01716305,0.0010624615,0.22462094,0.4916789,0.33432552,0.007702764,0.3242454,0.00067522726,0.008481745,0.5935905,0.403577,0.026649272,0.00011950623,0.0003188966,0.15044639,0.53400546,0.0019780828,0.0059523815,0.04662526,0.008824093,0.000570292,0.12929259,0.4595201,0.00015819875,2.5356898e-05,0.00022230868,0.039640754,0.56534386,0.654293,0.07015148,0.019733716,0.47889116,0.5481813,0.036609642,0.003197434,0.0025128287,0.10038023,0.358315,0.0024856147,0.5442115,0.4936334,0.12987787,0.35001993,0.005140507,0.041515592,0.046974186,0.0052053398,0.11973685,0.5929368,0.01086044,0.06905237,0.00033264034,0.0069969683,0.2675663,0.0006392045,0.11300056,0.09332761,0.77002984,0.18754241,0.42501715,0.0050289803,0.002484472,0.11250924,0.082692094,0.39957717,0.011654257,0.0029060068,0.8207759,0.0,0.024269441,0.24884894,0.40214276,0.002078104,0.0003866976,0.08110287,0.45213112,0.005159398,0.15381536,0.28338388,1.0000001,0.00012910514,0.023076924,0.22336875,0.2721334,0.42801467,0.0022651171,0.13917525,0.15082054,0.59574777,0.19159628,0.08633248,0.8636709,0.00067730184,0.35082304,0.0010570824,0.0039682537,0.76306295,0.036261477,0.0,0.08275718,0.013292716,0.037071753,0.061059188,0.011083799,0.28101388,0.18044077,0.19098331,0.041532293,0.0009718388,0.0045637093,0.038649652,0.00029603316,0.0013007072,0.10235994,0.01589666,0.008547602,0.00034371778,0.00014079026,0.011741683,0.20216012,0.45319054,0.022399273,0.19280796,0.031114051,3.7192694e-05,0.0,0.3161598,0.32031655,0.008589386,0.0017313467,0.0026743547,0.009439416,0.5453937,1.3985986e-05,0.14278647,0.45664984,0.08490232,0.019288622,0.7840661,0.642466,0.002142245,0.0,0.32289287,0.00012814195,0.0025042722,0.31009892,0.08306487,0.47869197,0.0004497414,0.0,0.004856053,6.855084e-05,0.70466787,7.907639e-05,0.22141372,9.491268e-05,0.22933963,0.00071023585,0.00058470987,0.78658897,0.12319263,0.0011879776,0.6391087,0.0051635113,0.008344643,0.36524904,0.097080335,0.2269663,0.014244055,0.27391714,0.09773558,0.00030012007,0.0010917791,0.003661592,0.0010133765,0.3869863,0.24505836,0.0,0.22222222
307,0.0007716049,0.004500884,0.0038901332,0.2817131,0.00066357,0.011142061,0.11146782,0.67884207,0.0053371205,0.020541904,0.0011073679,0.26839483,0.4664461,0.054453526,0.0019815206,0.25368893,0.041655406,0.009380473,0.0062152436,0.4674626,0.0025819142,0.0003522367,0.0055527515,0.0046785586,0.23235263,0.3257277,0.052982498,0.024467604,0.37153986,0.00026582222,0.0053290254,0.41501227,0.061430793,0.03074916,5.155171e-05,0.010324278,0.14146964,0.1326817,0.09751948,0.05555556,0.008561854,0.022060234,0.0016862338,0.0073977555,0.048400182,4.0469444e-05,0.018028755,0.95320404,0.09182409,0.22652191,0.19283083,0.0069530667,0.027532099,0.42421162,0.11592129,0.092877135,0.012779585,0.0003967624,0.13231939,0.18677042,0.0028966218,0.060164083,0.44047973,0.000893655,0.24140221,0.006511309,0.010959068,0.0008463817,0.0005418808,0.14342105,0.49256507,0.00045206986,0.011079509,0.0009147609,0.009313814,0.14425315,0.0004971591,0.09544707,0.22132842,0.12126277,0.39191207,0.30044612,0.001875213,0.0039337473,0.13508512,0.10053397,0.0042283298,0.0031293838,0.003795884,0.21817891,0.00010219724,0.008915305,0.37621,0.036064584,0.0032339033,0.00032224803,0.11673653,0.49747378,0.0029327106,0.19690502,0.39396563,0.16632777,8.069072e-05,0.021301776,0.06362819,0.25376573,0.40784043,0.0001969667,0.3328424,0.10818765,0.29665276,0.17336817,0.04755784,0.38316455,0.031662215,0.2834362,0.0005285412,0.0039682537,0.18531305,0.0070681665,0.0009719522,0.015281609,0.033439487,0.00011550888,0.0012461059,0.00752492,0.31367293,0.22176309,0.3837416,0.017228482,0.0027829928,0.095472805,0.01240606,0.00014801658,8.12942e-05,0.04136288,0.009527722,0.094093114,0.0013123769,0.00021532628,0.004892368,0.6111763,0.32010376,0.0073645036,0.0067329765,0.014860243,3.3060172e-05,0.008720931,0.67559046,0.79674727,0.0095372815,0.094376065,0.008570981,0.003363186,0.663267,4.595395e-05,0.00059361535,0.15446128,0.06161523,0.0046894355,0.27798563,0.19712026,0.2542845,0.006203474,0.36005843,0.00010820877,0.004413411,0.13216011,0.36941037,0.27352768,0.13109963,0.0,0.00381547,0.00045047695,0.5361311,0.00019769097,0.01975052,0.0028473802,0.06746577,0.0012037896,0.0034351705,0.46624848,0.031381276,0.0007919851,1.0,0.009466437,0.016448872,0.4557653,0.0022609278,0.10786517,0.007981851,0.27306968,0.13050874,0.0006859887,0.0055285837,0.00019271536,0.0074584517,0.0051369863,0.4444249,0.00041063927,0.125
1125,0.025958171,0.026523067,0.060621243,0.010492332,0.01128069,0.04038997,0.06870425,0.04118904,0.048716087,0.039193448,0.02214736,0.028129952,0.056418087,0.084716246,0.039098334,0.027543806,0.06399207,0.0011177836,0.009050267,0.026196098,0.10831745,0.043677352,0.19030793,0.1760331,0.032131743,0.03669509,0.076854385,0.05527866,0.057727084,0.018603675,0.037153192,0.05681603,0.04510109,0.027674245,0.0059097004,0.004065932,0.11081134,0.03993771,0.23479842,0.009920635,0.14502078,0.30136198,0.0427543,0.04295742,0.09809893,0.00084985833,0.017699115,0.034235537,0.1336327,0.050644085,0.06871635,0.3744723,0.06119829,0.05595117,0.22492546,0.004230171,0.12514147,0.08704967,0.19315588,0.033496868,0.0011547344,0.030082041,0.042641398,0.025618112,0.061612006,0.030843044,0.004559453,0.18779095,0.007241498,0.35789475,0.10780669,0.09267432,0.063590445,0.0189605,0.022862025,0.040639058,0.0023437499,0.43938565,0.027562033,0.060337823,0.0336545,0.05851064,0.0012785543,0.37556937,0.13508512,0.004726645,0.1358351,0.11665048,0.16629587,0.060756657,0.00081757794,0.10351659,0.015824966,0.1957145,0.3421283,0.0034802787,0.08069977,0.036274128,0.038152393,0.22251867,0.06943843,0.09394062,0.0033405956,0.5284024,0.10326552,0.01729173,0.073360845,0.01762852,0.05670103,0.02381377,0.09409568,0.026001874,0.2474293,0.09126582,0.11542736,0.03909465,0.46987313,0.20171957,0.09320571,0.05602705,0.047625657,0.050153933,0.16228192,0.06226919,0.25046727,0.03198468,0.05374117,0.6584022,0.036208734,0.06971098,0.003158476,0.3751369,0.046920355,0.0008880995,0.04235428,0.0646265,0.030920157,0.06570535,0.0055307313,0.00034783475,0.52250487,0.04860296,0.07722455,0.1295908,0.004284621,0.051561955,0.00054136035,0.046511628,0.039145906,0.07540442,0.053607102,0.18478298,0.020272914,0.040953517,0.10533355,0.01901095,0.11118196,0.053030305,0.13657276,0.5527341,0.0626754,0.070168324,0.21550985,0.032258064,0.07058716,0.043613832,0.011525543,0.0794801,0.15725592,0.059189115,0.17337531,0.013937282,0.022199098,0.0013416378,0.04712747,0.0056935,0.53222454,0.0024677296,0.06356189,0.16567755,0.0078204945,0.06780167,0.044888195,0.06985308,0.10037485,0.41738382,0.03176548,0.024675915,0.1315525,0.08988764,0.015948161,0.06101695,0.055925064,0.0440319,0.11141567,0.0029870882,0.111025535,0.16267124,0.039063875,0.00014932337,0.31944445
560,0.11258522,0.04806301,0.17123954,0.013840948,0.02853351,0.05954039,0.043662515,0.049931996,0.34240788,0.0,0.0006706595,0.02971474,0.033172138,0.012700179,0.17476276,0.026990471,0.47637707,1.3769798e-05,0.06346091,0.03253739,0.18116432,0.0489609,0.14437154,0.011444761,0.054423135,0.038518082,0.0016668651,0.01676484,0.05132842,0.032401208,0.004964558,0.07770845,0.01244168,0.002422661,0.059352417,0.08070077,0.042087708,0.013462839,0.015547731,0.0009920635,0.015463533,0.07596394,0.15027547,0.007986213,0.055083975,0.5314705,0.00053249486,0.00016673151,0.023227004,0.038229793,0.041371495,0.016761856,0.3628626,0.04158189,0.07328563,0.004385692,0.005090518,0.2034333,0.05475285,0.048046015,0.00015657415,0.016408386,0.06929227,0.00119154,0.023635639,0.039410558,0.0017637166,0.28914514,0.059179954,0.08289474,0.06877323,0.061675243,0.078405574,0.6574636,0.048259117,0.021560414,0.15397727,0.1146462,0.0024208191,0.043492008,0.029990502,0.03706246,0.0004261848,0.004140787,0.08993337,0.004162029,0.011627907,0.015862739,0.14621802,0.0554665,0.022585591,0.2228826,0.015788712,0.012524521,0.014570077,0.045565866,0.024024507,0.04728592,0.00019008308,0.013740662,0.05817814,0.0482581,0.22798355,0.23964497,0.023290444,0.015716262,0.04011921,0.0,0.02945508,0.014805566,0.08317771,0.03283742,0.036846615,0.052405063,0.004231492,0.03446502,0.042283297,0.009259259,0.050054923,0.04815129,0.002221605,0.0028656346,0.10052617,0.07614676,0.15202492,0.03417882,0.07258917,0.035812672,0.061412852,0.041642655,0.00026504693,0.005750274,0.071016744,0.009473061,0.0143890735,0.0074507548,0.037742794,0.021751216,0.007936756,0.00033127118,0.119373776,0.041324254,0.048741445,0.14722891,0.005508799,0.05337091,0.0006818661,0.5436047,0.034131348,0.08027483,0.26596472,0.015205229,0.017833382,0.021310695,0.05433874,0.06193194,0.33510685,0.016173642,0.036912512,0.014687666,0.05285313,0.06124518,0.03909597,0.18486352,0.12309378,0.0014323423,0.03168346,0.045203585,0.18277541,0.04224623,0.014166854,0.05574913,0.0,0.40135536,0.03859964,0.18721335,0.029106028,0.18071374,0.020894045,0.29289404,0.008332116,0.042264037,0.17335269,0.006850671,0.06559767,0.04819277,0.036147192,0.051171254,0.00778764,0.073033705,0.014161181,0.056403015,0.02518278,0.009603841,0.0041193366,0.18250145,0.23052289,0.03938356,0.03636577,0.0021465234,0.055555556
229,0.07181684,0.07265712,0.14265296,0.014527844,0.012607831,0.11079387,0.033998974,0.030017486,0.11435705,0.0013862634,0.0014660928,0.03746887,0.03495376,0.0099666165,0.04903896,0.026698433,0.23654947,5.588918e-05,0.033093445,0.019461209,0.1084404,0.05442057,0.09490157,0.045238495,0.032583594,0.031049691,0.0032146685,0.005890349,0.033384338,0.09420585,0.00280625,0.04395916,0.00466563,0.003354454,0.033044644,0.12189823,0.03173747,0.015593943,0.021363294,0.0009920635,0.00558582,0.062535964,0.18119797,0.008910933,0.015009882,0.053346086,0.0017369475,5.557717e-05,0.024620624,0.02425722,0.035279118,0.01626521,0.13147885,0.034715157,0.040071554,0.004541213,0.0067856656,0.062423952,0.0243346,0.015902555,0.00013700238,0.0,0.022801302,0.00119154,0.029478157,0.11720356,0.0018237813,0.18768515,0.14379546,0.07105263,0.065055765,0.048705146,0.2658233,0.035176717,0.052465655,0.01907864,0.101775564,0.043335162,0.002950373,0.029175324,0.021305468,0.026938915,0.0,0.012836439,0.048112508,0.0019842233,0.015327696,0.011006799,0.18389876,0.055947423,0.031578947,0.19811787,0.008664758,0.01599517,0.035748057,0.29511473,0.01821993,0.016323358,0.0010318796,0.025480255,0.0718926,0.0429714,0.09239087,0.1591716,0.033250786,0.015332,0.0479138,0.0,0.03240059,0.012932572,0.04755064,0.012665861,0.043059126,0.045696203,0.011057117,0.054012343,0.021141648,0.016534392,0.029028716,0.039131664,0.0,0.0017630578,0.015023539,0.12631062,0.09844236,0.02878018,0.05613779,0.039944906,0.029818956,0.026817573,0.00017669795,0.0147864185,0.045329835,0.01731794,0.035525568,0.015077386,0.029362164,0.0037873522,0.008311721,0.00028158052,0.029354207,0.04930735,0.058567014,0.22014885,0.00076511095,0.026084704,0.0034258603,0.15697674,0.036234226,0.06757697,0.29673484,0.0152758965,0.0047747022,0.024389958,0.10951346,0.012829145,0.3108016,0.02837903,0.056731313,0.015660945,0.03734019,0.060839586,0.0029991432,0.024813896,0.03835266,0.0055129523,0.021625124,0.033471357,0.14683194,0.046167508,0.04205082,0.013937282,0.0010405828,0.025373602,0.045556553,0.120670564,0.040540542,0.08874335,0.008247649,0.3468238,0.0016079522,0.027329748,0.1448513,0.0036827307,0.07705123,0.022375215,0.026003333,0.029338185,0.0016747613,0.04719101,0.01611909,0.049811676,0.029371448,0.20013721,0.010553865,0.13827327,0.11593028,0.02910959,0.026746437,0.0003359776,0.041666668
589,0.1920375,0.06558431,0.15989332,0.017103704,0.13470471,0.19791086,0.06472325,0.07548086,0.2227325,0.0007561437,0.00049129705,0.05269414,0.07092559,0.007208863,0.31967795,0.04878574,0.23601395,4.8599286e-06,0.058935776,0.035423774,0.3360792,0.5695667,0.31044927,0.019217504,0.055025604,0.08103499,0.00035718537,0.012686905,0.1087773,0.08163265,0.003020731,0.09935716,0.00777605,0.0010249721,0.028198784,0.079225875,0.024085157,0.087108865,0.020690745,0.0,0.0029519096,0.037214655,0.25574782,0.0060106763,0.011410184,0.1614878,0.0008240992,0.0,0.012542582,0.06918761,0.11731368,0.015520238,0.2571089,0.10732452,0.045974955,0.0049766717,0.00798851,0.2879437,0.015209125,0.026053121,0.0003914354,0.007292616,0.08913237,0.000297885,0.11671757,0.0685401,0.006645335,0.2999365,0.301023,0.040789474,0.15427509,0.10645169,0.29583564,0.016964657,0.06003371,0.042655498,0.17571022,0.021941856,0.0032781924,0.11882396,0.040575385,0.0483871,8.5236956e-05,0.0039337473,0.12139155,0.002306861,0.01744186,0.0053954893,0.4314655,0.12896763,0.0011241697,0.19737493,0.017873328,0.004074242,0.021715019,0.14282033,0.02281522,0.031221662,0.00021723782,0.018676627,0.13700014,0.06100041,0.006439119,0.19704142,0.0801295,0.040232092,0.102017425,9.848335e-05,0.06811488,0.03701391,0.11032898,0.035182953,0.0279563,0.14341773,0.0078580165,0.13631687,0.0084566595,0.014550264,0.1493802,0.048353426,0.00013885032,0.0003462198,0.032954857,0.16050455,0.22554517,0.07578454,0.09541799,0.017906336,0.08058217,0.035756767,0.00017669795,0.0054764515,0.026044775,0.0050325636,0.15722299,0.03677411,0.052911818,0.00656706,0.31581414,0.0001614947,0.028375734,0.08053534,0.16173548,0.17072892,0.00030604439,0.038894795,0.00073558884,0.15988372,0.07303462,0.09914768,0.24697767,0.008656734,0.01234117,0.19934766,0.23641533,0.020321637,0.3833216,0.048941802,0.09311297,0.01026367,0.09315559,0.11843439,0.0014995716,0.31761786,0.09734271,0.12988755,0.020747157,0.13296527,0.036565628,0.09862386,0.030132674,0.034843206,0.0010405828,0.045282725,0.06597846,0.009963625,0.014553014,0.017179195,0.0059383074,0.24978633,0.0014617747,0.208632,0.110970944,0.0023363559,0.14264889,0.018932873,0.03517779,0.031157607,0.0045218556,0.07191011,0.017735142,0.10310734,0.057676688,0.06315383,0.0061248033,0.32482174,0.1557357,0.02568493,0.06440261,0.00013065795,0.013888889
366,0.059390545,0.007394309,0.05004126,0.04998884,0.00066357,0.0063370476,0.14488891,0.75442004,0.054735206,0.0002520479,0.0,0.33433327,0.18435565,0.0011127775,0.041850448,0.2245312,0.018242696,2.6729609e-05,0.0073056375,0.48810458,0.027601894,0.010743219,0.12064614,0.0050886315,0.29330254,0.21264333,0.0,0.005437245,0.60648215,0.092500314,0.007905796,0.5694838,0.002332815,9.3179275e-05,0.0013169118,0.00021924142,0.08756009,0.57492673,0.010602524,0.0,2.851027e-05,0.1732208,0.023642477,0.0005884578,0.04820922,5.8864647e-05,1.2678449e-05,0.0,0.0007742335,0.1753584,0.25913858,0.52979887,0.02672373,0.32922179,0.06308885,0.039440125,0.053605232,0.21906576,0.011406844,0.30756217,7.828708e-05,0.10756609,0.34720165,0.00238308,0.15947418,0.05071967,0.031867027,0.0555438,0.00034483324,0.025,0.5511152,0.06165372,0.0054053287,0.22910604,0.006398024,0.27284005,0.00035511362,0.035655513,0.054493643,0.3996929,0.27602118,0.4090597,0.0014490283,0.06977226,0.027757216,0.018341964,0.042811837,0.021150317,0.015823137,0.4302661,0.00020439448,0.0116394255,0.61949396,0.0025652633,0.0005837371,0.027068833,0.10367623,0.18966188,0.0,0.034018144,0.70290166,0.61759526,1.6138143e-05,0.14674556,0.08385773,0.10052259,0.44750112,9.848335e-05,0.12371134,0.31109524,0.12139061,0.26571503,0.0059982864,0.4706329,6.575746e-05,0.43621397,0.0,0.0046296297,0.39588892,0.0023720225,0.0,0.00031426104,0.008861811,0.036589913,0.011838006,0.05366972,0.20176294,0.0041322317,0.56088036,0.023138894,6.626173e-05,0.001004016,0.021153923,0.00074008293,0.002032355,0.055976592,0.0063004526,0.17890896,0.002218542,0.00027329873,0.006849315,0.27799955,0.80961585,0.01216934,0.024942618,0.013011087,0.00023968625,0.06104651,0.44945002,0.26178464,0.08539805,0.002697132,0.0055052578,0.012654468,0.482528,9.98999e-05,0.14295137,0.21548821,0.06564977,0.008494072,0.42235732,0.19306429,0.031062553,0.06575682,0.23869964,0.009827064,0.00992281,0.57648957,0.01211121,0.17497781,0.0,0.0,0.035379812,0.0033100261,0.1903052,0.0,0.013513514,0.008637054,0.0007697806,0.050270252,7.308873e-05,0.37948027,0.058204707,0.003603532,0.35610163,1.0,0.011702663,0.26734138,0.0010327694,0.08988764,0.0073240343,0.41421846,0.22984363,0.0091750985,1.5486228e-05,0.0010599345,0.07904337,0.19349314,0.14851311,3.7330843e-05,0.013888889
26,0.100124374,0.3182768,0.368207,0.0111964,0.05242203,0.28259054,0.04083729,0.03205751,0.4410101,0.0,0.0,0.033676703,0.016289132,0.0015965939,0.49054006,0.020903781,0.6325286,0.0,0.12223313,0.018061751,0.26796582,0.12275449,0.2503786,0.00041007285,0.025303744,0.0594531,0.0,0.0018124151,0.042982336,0.8796038,0.00030747263,0.055965208,0.002332815,9.3179275e-05,0.10988949,0.11587906,0.0029431963,0.014323478,0.00059342483,0.0,0.0011119006,0.010358719,0.22429374,0.0001681308,0.0044399463,0.003634892,1.2678449e-05,0.0,0.002632394,0.034801576,0.03952961,0.0,0.20413695,0.038275685,0.016040549,0.0014930015,0.0011774678,0.20017986,0.0076045627,0.011842328,5.8715308e-05,0.010938924,0.020432336,0.008042895,0.041428763,0.06648389,0.0022278526,0.5445408,0.0021675234,0.009210527,0.0697026,0.05204185,0.28250626,0.012474013,0.026984988,0.015045757,0.51299715,0.0032912781,0.0007312891,0.038117606,0.021576876,0.0271105,0.0004261848,0.002484472,0.017764619,0.0006291439,0.0031712474,0.0014028272,0.564669,0.044725876,0.016147165,0.11986132,0.0049668276,0.080881245,0.0001400969,0.023072958,0.00056433404,0.012177743,0.0,0.00026680896,0.099610224,0.044598076,0.04233035,0.21597633,0.028822131,0.018675068,0.017652452,0.0,0.01988218,0.012932572,0.0372073,0.007371666,0.004605827,0.028481014,6.5757463e-06,0.038065843,0.0005285412,0.0013227513,0.03703123,0.03476028,0.00013885032,5.3264584e-06,0.022569925,0.82730436,0.06728972,0.05471778,0.07843854,0.005509642,0.066027686,0.021765519,4.417449e-05,9.127419e-05,0.038053203,0.002072232,0.113405414,0.003373625,0.03657002,0.00066018064,0.47286192,0.00013250847,0.008806262,0.04320263,0.050287038,0.06547681,0.00030604439,0.04599662,1.6530086e-05,0.25581396,0.034293108,0.0512263,0.29141206,9.422295e-05,0.014571972,0.14527264,0.034609597,0.115140624,0.6721155,0.028679656,0.003716025,0.0014156786,0.039211098,0.04116812,0.0011782348,0.32506204,0.9800018,0.15074052,0.13071711,0.045778695,0.044105474,0.020124298,0.0002248707,0.05923345,0.0,0.04177684,0.026032317,0.14087458,0.0,0.002372817,0.0043987464,0.24913628,0.011328754,0.017473118,0.09883257,0.00071278657,0.017909205,0.0025817556,0.025328627,0.02626791,0.0005582538,0.08089887,0.01463253,0.0626177,0.019724816,0.0016720975,0.0,0.62401235,0.13996756,0.018835615,0.015543433,5.5996265e-05,0.0
